Year,Mkt-RF,SMB,HML,RMW,CMA,RF
1970,-6.49,-12.42,22.34,-3.6,24.45,6.52
1971,11.78,5.65,-11.3,9.71,-5.86,4.39
1972,13.05,-11.42,1.75,7.71,-3.05,3.84
1973,-26.24,-20.01,18.17,-9.49,6.85,6.93
1974,-35.74,0.73,9.6,-3.89,22.8,8
1975,32.44,19.05,9.36,0.81,0.49,5.8
1976,21.9,19.91,24.5,-6.22,7.49,5.08
1977,-8.27,24.6,7.53,2.13,-0.34,5.12
1978,1.03,13.71,0.38,5.16,4.13,7.18
1979,13.08,21.46,-1.33,-1.97,-1.71,10.38
1980,22.12,4.87,-25.02,12.34,-11.35,11.24
1981,-18.13,7.45,25.01,-1.21,10.37,14.71
1982,10.66,7.35,13.49,-4.3,18.03,10.54
1983,13.75,11.81,20.88,0.13,16.42,8.8
1984,-6.06,-8.43,19.6,15.05,3.81,9.85
1985,24.91,-0.54,1.54,11.58,-2.46,7.72
1986,10.12,-10.35,9.58,7.42,9.85,6.16
1987,-3.87,-11.29,-1.65,5.91,6.66,5.47
1988,11.55,6.46,14.82,3.42,9.68,6.35
1989,20.49,-13.08,-4.28,2.36,8.16,8.37
1990,-13.95,-14.39,-9.72,7.04,0.61,7.81
1991,29.18,15.79,-14.48,11.68,-14.98,5.6
1992,6.23,9.1,24.28,7.43,6.99,3.51
1993,8.21,5.99,18.9,-7.68,12.02,2.9
1994,-4.1,-2.65,-0.73,5.15,3.93,3.9
1995,31.22,-8.33,5.17,1.43,2.84,5.6
1996,15.96,-2.81,6.11,15.01,0.54,5.21
1997,25.96,-6.18,17.53,9.82,5.25,5.26
1998,19.46,-28.68,-8.86,0.6,-4.59,4.86
1999,20.57,8.58,-31.7,-28.18,-8.28,4.68
2000,-17.59,4.25,39.7,26.93,32.65,5.89
2001,-15.2,23.74,19.48,19.69,11.82,3.83
2002,-22.76,5.85,7.46,20.39,14.47,1.65
2003,30.75,24.35,5.34,-20.79,17.35,1.02
2004,10.72,7.43,8.1,8.44,-7.92,1.2
2005,3.09,-0.79,8.26,1.72,-5.1,2.98
2006,10.6,1.55,14.1,2.52,8.17,4.8
2007,1.04,-8.08,-14.69,3.94,-7.82,4.66
2008,-38.34,3.39,0.81,15,4.13,1.6
2009,28.26,8.1,-9.16,3.57,-2.8,0.1
2010,17.37,13.24,-5.31,-1.95,9.83,0.12
2011,0.44,-5.73,-8.42,12.63,-1.01,0.04
2012,16.28,-0.04,9.68,-5.14,9.35,0.06
2013,35.2,7.89,1.35,-3.3,1.3,0.02
2014,11.7,-7.98,-1.58,1.11,-1.6,0.02
2015,0.07,-5.81,-9.56,-0.71,-8.58,0.02
2016,13.3,9.16,22.91,4.28,9.62,0.2
