Timestamp,Open,High,Low,Close,Volume
2017-03-04 00:00:00,42.99,42.99,42.99,42.99,0.01
2017-03-04 01:00:00,42.62842402957645,43.576620182855464,44.31271829666401,43.51720230076562,0.010178055653428376
2017-03-04 02:00:00,43.0,51.878,43.0,51.6,1984.1488175
2017-03-04 03:00:00,51.595,51.595,49.02,50.41,396.59791672
2017-03-04 04:00:00,50.649,51.5,49.001,50.294,777.00876676
2017-03-04 05:00:00,50.262,50.967,48.528,49.0,513.36134289
2017-03-04 06:00:00,48.501,50.299,47.0,47.853,227.00290763
2017-03-04 07:00:00,47.778,76.841,46.706,46.706,1711.21685095
2017-03-04 08:00:00,46.69,47.163,44.0,44.0,604.69513541
2017-03-04 09:00:00,44.872,46.64,44.872,46.64,213.1572615
2017-03-04 10:00:00,45.92,46.851,45.673,45.673,367.33822434
2017-03-04 11:00:00,47.374,47.977,46.189,47.977,1010.55913979
2017-03-04 12:00:00,47.467,49.035,46.937,49.035,476.24399545
2017-03-04 13:00:00,49.133,49.133,47.553,48.0,199.70836895
2017-03-04 14:00:00,48.001,48.001,47.5,47.946,341.04934043
2017-03-04 15:00:00,47.591,48.325,46.092,47.319,390.31617944
2017-03-04 16:00:00,47.5,49.132,47.5,49.131,240.92717137
2017-03-04 17:00:00,49.113,49.399,48.1,49.291,86.17356107
2017-03-04 18:00:00,49.317,49.317,47.401,47.401,80.38563078
2017-03-04 19:00:00,47.468,48.418,47.0,47.215,285.58059314
2017-03-04 20:00:00,46.483,47.08,46.101,47.08,295.300512
2017-03-04 21:00:00,47.08,47.115,47.08,47.115,27.8878
2017-03-04 22:00:00,47.115,47.916,46.602,47.679,472.88480579
2017-03-04 23:00:00,47.104,47.104,45.8,46.275,243.07997459
2017-03-05 00:00:00,46.666,46.88,46.321,46.321,1443.41664
2017-03-05 01:00:00,46.88,46.88,45.594,45.594,332.01035061
2017-03-05 02:00:00,46.342,46.342,45.875,45.875,48.20744543
2017-03-05 03:00:00,45.989,45.999,44.9,45.47,714.60003901
2017-03-05 04:00:00,45.561,46.089,44.639,45.103,207.70694183
2017-03-05 05:00:00,45.326,46.01,43.791,43.839,395.78161738
2017-03-05 06:00:00,44.116,44.118,43.326,43.789,208.4963047
2017-03-05 07:00:00,43.767,44.0,43.172,43.7,45.90488885
2017-03-05 08:00:00,44.0,44.506,43.681,44.506,314.390119
2017-03-05 09:00:00,44.47,44.974,44.21,44.974,101.396337
2017-03-05 10:00:00,43.751,44.897,43.751,44.897,12.0504
2017-03-05 11:00:00,44.478,44.974,44.031,44.292,29.176158
2017-03-05 12:00:00,44.342,44.342,43.334,43.334,37.56312
2017-03-05 13:00:00,44.07,44.07,44.07,44.07,0.5
2017-03-05 14:00:00,43.529,43.529,43.194,43.194,62.39388771
2017-03-05 15:00:00,43.041,43.041,40.679,40.679,394.13226526
2017-03-05 16:00:00,41.256,41.394,40.0,40.0,710.862914
2017-03-05 17:00:00,40.002,41.4,40.0,41.034,407.86549199
2017-03-05 18:00:00,41.28,41.28,40.762,40.831,125.899214
2017-03-05 19:00:00,41.064,42.092,40.302,41.567,660.23570562
2017-03-05 20:00:00,41.999,41.999,41.56,41.598,156.09506597
2017-03-05 21:00:00,41.566,42.819,41.566,42.819,131.66636639
2017-03-05 22:00:00,43.054,43.299,42.6,42.759,277.07464372
2017-03-05 23:00:00,42.562,43.527,42.415,43.527,187.71295113
2017-03-06 00:00:00,42.893,42.999,40.351,40.351,310.074527
2017-03-06 01:00:00,41.879,41.879,41.166,41.593,22.265309
